sample_id,tir_200m,tir_100m,rgb_100m
0,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000000/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000000/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000000/rgb_100m.npy
1,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000001/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000001/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000001/rgb_100m.npy
2,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000002/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000002/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000002/rgb_100m.npy
3,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000003/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000003/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000003/rgb_100m.npy
4,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000004/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000004/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000004/rgb_100m.npy
5,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000005/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000005/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000005/rgb_100m.npy
6,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000006/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000006/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000006/rgb_100m.npy
7,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000007/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000007/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000007/rgb_100m.npy
8,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000008/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000008/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000008/rgb_100m.npy
9,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000009/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000009/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000009/rgb_100m.npy
10,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000010/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000010/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000010/rgb_100m.npy
11,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000011/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000011/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000011/rgb_100m.npy
12,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000012/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000012/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000012/rgb_100m.npy
13,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000013/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000013/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000013/rgb_100m.npy
14,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000014/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000014/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000014/rgb_100m.npy
15,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000015/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000015/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000015/rgb_100m.npy
16,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000016/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000016/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000016/rgb_100m.npy
17,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000017/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000017/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000017/rgb_100m.npy
18,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000018/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000018/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000018/rgb_100m.npy
19,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000019/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000019/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000019/rgb_100m.npy
20,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000020/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000020/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000020/rgb_100m.npy
21,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000021/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000021/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000021/rgb_100m.npy
22,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000022/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000022/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000022/rgb_100m.npy
23,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000023/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000023/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000023/rgb_100m.npy
24,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000024/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000024/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000024/rgb_100m.npy
25,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000025/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000025/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000025/rgb_100m.npy
26,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000026/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000026/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000026/rgb_100m.npy
27,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000027/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000027/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000027/rgb_100m.npy
28,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000028/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000028/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000028/rgb_100m.npy
29,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000029/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000029/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000029/rgb_100m.npy
30,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000030/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000030/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000030/rgb_100m.npy
31,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000031/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000031/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000031/rgb_100m.npy
32,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000032/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000032/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000032/rgb_100m.npy
33,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000033/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000033/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000033/rgb_100m.npy
34,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000034/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000034/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000034/rgb_100m.npy
35,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000035/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000035/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000035/rgb_100m.npy
36,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000036/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000036/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000036/rgb_100m.npy
37,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000037/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000037/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000037/rgb_100m.npy
38,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000038/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000038/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000038/rgb_100m.npy
39,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000039/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000039/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000039/rgb_100m.npy
40,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000040/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000040/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000040/rgb_100m.npy
41,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000041/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000041/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000041/rgb_100m.npy
42,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000042/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000042/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000042/rgb_100m.npy
43,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000043/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000043/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000043/rgb_100m.npy
44,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000044/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000044/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000044/rgb_100m.npy
45,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000045/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000045/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000045/rgb_100m.npy
46,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000046/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000046/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000046/rgb_100m.npy
47,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000047/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000047/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000047/rgb_100m.npy
48,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000048/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000048/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000048/rgb_100m.npy
49,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000049/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000049/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000049/rgb_100m.npy
50,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000050/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000050/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000050/rgb_100m.npy
51,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000051/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000051/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000051/rgb_100m.npy
52,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000052/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000052/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000052/rgb_100m.npy
53,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000053/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000053/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000053/rgb_100m.npy
54,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000054/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000054/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000054/rgb_100m.npy
55,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000055/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000055/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000055/rgb_100m.npy
56,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000056/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000056/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000056/rgb_100m.npy
57,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000057/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000057/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000057/rgb_100m.npy
58,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000058/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000058/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000058/rgb_100m.npy
59,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000059/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000059/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000059/rgb_100m.npy
60,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000060/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000060/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000060/rgb_100m.npy
61,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000061/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000061/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000061/rgb_100m.npy
62,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000062/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000062/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000062/rgb_100m.npy
63,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000063/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000063/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000063/rgb_100m.npy
64,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000064/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000064/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000064/rgb_100m.npy
65,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000065/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000065/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000065/rgb_100m.npy
66,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000066/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000066/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000066/rgb_100m.npy
67,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000067/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000067/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000067/rgb_100m.npy
68,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000068/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000068/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000068/rgb_100m.npy
69,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000069/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000069/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000069/rgb_100m.npy
70,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000070/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000070/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000070/rgb_100m.npy
71,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000071/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000071/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000071/rgb_100m.npy
72,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000072/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000072/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000072/rgb_100m.npy
73,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000073/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000073/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000073/rgb_100m.npy
74,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000074/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000074/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000074/rgb_100m.npy
75,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000075/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000075/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000075/rgb_100m.npy
76,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000076/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000076/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000076/rgb_100m.npy
77,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000077/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000077/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000077/rgb_100m.npy
78,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000078/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000078/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000078/rgb_100m.npy
79,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000079/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000079/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000079/rgb_100m.npy
80,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000080/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000080/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000080/rgb_100m.npy
81,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000081/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000081/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000081/rgb_100m.npy
82,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000082/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000082/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000082/rgb_100m.npy
83,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000083/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000083/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000083/rgb_100m.npy
84,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000084/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000084/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000084/rgb_100m.npy
85,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000085/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000085/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000085/rgb_100m.npy
86,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000086/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000086/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000086/rgb_100m.npy
87,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000087/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000087/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000087/rgb_100m.npy
88,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000088/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000088/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000088/rgb_100m.npy
89,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000089/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000089/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000089/rgb_100m.npy
90,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000090/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000090/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000090/rgb_100m.npy
91,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000091/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000091/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000091/rgb_100m.npy
92,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000092/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000092/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000092/rgb_100m.npy
93,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000093/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000093/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000093/rgb_100m.npy
94,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000094/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000094/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000094/rgb_100m.npy
95,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000095/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000095/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000095/rgb_100m.npy
96,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000096/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000096/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000096/rgb_100m.npy
97,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000097/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000097/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000097/rgb_100m.npy
98,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000098/tir_200m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000098/tir_100m.npy,/content/drive/MyDrive/ISRO_Hackathon_Project/dataset/sample_000098/rgb_100m.npy
